I (A),waveVsWave(?x i("T0:C" ?result "dc1-dc" ?resultsDir "./nl4.raw") ?y getData("T0.Qnpn13G2:ft" ?result "dc1-dc" ?resultsDir "./nl4.raw")),I (A),waveVsWave(?x i("T0:C" ?result "dc2-dc" ?resultsDir "./nl4.raw") ?y getData("T0.Qnpn13G2:ft" ?result "dc2-dc" ?resultsDir "./nl4.raw")),I (A),waveVsWave(?x i("T0:C" ?result "dc0-dc" ?resultsDir "./nl4.raw") ?y getData("T0.Qnpn13G2:ft" ?result "dc0-dc" ?resultsDir "./nl4.raw"))
386.9E-6,237.9E9,390.7E-6,239.5E9,386.5E-6,236.2E9
457.3E-6,250.4E9,461.0E-6,251.8E9,456.8E-6,248.6E9
525.5E-6,260.2E9,529.0E-6,261.5E9,525.0E-6,258.4E9
591.6E-6,268.1E9,594.9E-6,269.4E9,591.0E-6,266.2E9
655.9E-6,274.6E9,659.0E-6,275.9E9,655.3E-6,272.7E9
718.5E-6,280.1E9,721.3E-6,281.3E9,717.8E-6,278.1E9
779.4E-6,284.8E9,782.1E-6,286.0E9,778.7E-6,282.7E9
838.9E-6,288.9E9,841.4E-6,290.1E9,838.2E-6,286.7E9
897.0E-6,292.4E9,899.3E-6,293.6E9,896.2E-6,290.1E9
953.8E-6,295.5E9,956.0E-6,296.7E9,953.0E-6,293.2E9
1.009E-3,298.3E9,1.011E-3,299.5E9,1.009E-3,295.9E9
1.064E-3,300.8E9,1.066E-3,302.0E9,1.063E-3,298.2E9
1.117E-3,303.0E9,1.119E-3,304.2E9,1.116E-3,300.4E9
1.170E-3,305.0E9,1.171E-3,306.2E9,1.169E-3,302.3E9
1.221E-3,306.8E9,1.223E-3,308.0E9,1.220E-3,304.0E9
1.272E-3,308.5E9,1.273E-3,309.7E9,1.271E-3,305.5E9
1.321E-3,310.0E9,1.323E-3,311.2E9,1.320E-3,306.9E9
1.370E-3,311.3E9,1.372E-3,312.6E9,1.369E-3,308.1E9
1.418E-3,312.6E9,1.420E-3,313.9E9,1.417E-3,309.2E9
1.466E-3,313.7E9,1.467E-3,315.0E9,1.465E-3,310.2E9
1.512E-3,314.8E9,1.514E-3,316.1E9,1.511E-3,311.2E9
1.558E-3,315.8E9,1.560E-3,317.1E9,1.557E-3,312.0E9
1.604E-3,316.7E9,1.605E-3,318.0E9,1.603E-3,312.8E9
1.648E-3,317.5E9,1.650E-3,318.9E9,1.647E-3,313.5E9
1.693E-3,318.3E9,1.694E-3,319.6E9,1.691E-3,314.2E9
1.736E-3,319.0E9,1.737E-3,320.4E9,1.735E-3,314.8E9
1.779E-3,319.6E9,1.780E-3,321.0E9,1.778E-3,315.3E9
1.822E-3,320.2E9,1.823E-3,321.6E9,1.820E-3,315.8E9
1.864E-3,320.7E9,1.865E-3,322.2E9,1.862E-3,316.2E9
1.905E-3,321.2E9,1.906E-3,322.7E9,1.904E-3,316.6E9
1.946E-3,321.7E9,1.947E-3,323.2E9,1.945E-3,317.0E9
1.987E-3,322.1E9,1.988E-3,323.6E9,1.986E-3,317.3E9
2.027E-3,322.5E9,2.028E-3,324.0E9,2.026E-3,317.6E9
2.067E-3,322.8E9,2.068E-3,324.4E9,2.065E-3,317.8E9
2.106E-3,323.1E9,2.107E-3,324.7E9,2.105E-3,318.0E9
2.145E-3,323.4E9,2.146E-3,325.0E9,2.144E-3,318.2E9
2.183E-3,323.6E9,2.185E-3,325.3E9,2.182E-3,318.4E9
2.222E-3,323.8E9,2.223E-3,325.5E9,2.220E-3,318.5E9
2.259E-3,324.0E9,2.261E-3,325.8E9,2.258E-3,318.6E9
2.297E-3,324.2E9,2.298E-3,325.9E9,2.295E-3,318.7E9
2.334E-3,324.3E9,2.335E-3,326.1E9,2.332E-3,318.7E9
2.371E-3,324.4E9,2.372E-3,326.2E9,2.369E-3,318.7E9
2.407E-3,324.5E9,2.408E-3,326.3E9,2.405E-3,318.7E9
2.443E-3,324.6E9,2.444E-3,326.4E9,2.442E-3,318.7E9
2.479E-3,324.6E9,2.480E-3,326.5E9,2.477E-3,318.7E9
2.514E-3,324.6E9,2.516E-3,326.6E9,2.513E-3,318.6E9
2.550E-3,324.6E9,2.551E-3,326.6E9,2.548E-3,318.5E9
2.585E-3,324.6E9,2.586E-3,326.6E9,2.583E-3,318.4E9
2.619E-3,324.6E9,2.620E-3,326.6E9,2.617E-3,318.2E9
2.654E-3,324.5E9,2.655E-3,326.6E9,2.652E-3,318.0E9
2.688E-3,324.4E9,2.689E-3,326.5E9,2.686E-3,317.8E9
2.722E-3,324.3E9,2.723E-3,326.5E9,2.719E-3,317.6E9
2.755E-3,324.2E9,2.756E-3,326.4E9,2.753E-3,317.3E9
2.789E-3,324.1E9,2.790E-3,326.3E9,2.786E-3,317.0E9
2.822E-3,323.9E9,2.823E-3,326.2E9,2.819E-3,316.6E9
2.855E-3,323.8E9,2.856E-3,326.1E9,2.852E-3,316.2E9
2.887E-3,323.6E9,2.888E-3,325.9E9,2.884E-3,315.8E9
2.920E-3,323.4E9,2.921E-3,325.8E9,2.916E-3,315.3E9
2.952E-3,323.2E9,2.953E-3,325.6E9,2.948E-3,314.7E9
2.984E-3,323.0E9,2.985E-3,325.5E9,2.980E-3,314.1E9
3.016E-3,322.7E9,3.017E-3,325.3E9,3.011E-3,313.3E9
3.047E-3,322.5E9,3.048E-3,325.1E9,3.042E-3,312.5E9
3.078E-3,322.2E9,3.080E-3,324.9E9,3.073E-3,311.6E9
3.110E-3,322.0E9,3.111E-3,324.6E9,3.103E-3,310.5E9
3.141E-3,321.7E9,3.142E-3,324.4E9,3.134E-3,309.4E9
3.171E-3,321.4E9,3.173E-3,324.2E9,3.163E-3,308.0E9
3.202E-3,321.1E9,3.203E-3,323.9E9,3.193E-3,306.5E9
3.232E-3,320.7E9,3.234E-3,323.6E9,3.222E-3,304.9E9
3.262E-3,320.4E9,3.264E-3,323.3E9,3.251E-3,303.0E9
3.293E-3,320.0E9,3.294E-3,323.1E9,3.279E-3,300.8E9
3.322E-3,319.7E9,3.324E-3,322.8E9,3.307E-3,298.5E9
3.352E-3,319.3E9,3.353E-3,322.5E9,3.335E-3,295.9E9
3.382E-3,318.9E9,3.383E-3,322.1E9,3.362E-3,292.9E9
3.411E-3,318.5E9,3.412E-3,321.8E9,3.388E-3,289.7E9
3.440E-3,318.1E9,3.442E-3,321.5E9,3.414E-3,286.2E9
3.469E-3,317.7E9,3.471E-3,321.1E9,3.440E-3,282.4E9
3.498E-3,317.3E9,3.499E-3,320.8E9,3.465E-3,278.3E9
3.527E-3,316.8E9,3.528E-3,320.4E9,3.489E-3,273.8E9
3.555E-3,316.4E9,3.557E-3,320.0E9,3.513E-3,269.1E9
3.584E-3,316.0E9,3.585E-3,319.7E9,3.536E-3,264.1E9
3.612E-3,315.5E9,3.613E-3,319.3E9,3.559E-3,258.8E9
3.640E-3,315.1E9,3.642E-3,318.9E9,3.581E-3,253.3E9
3.668E-3,314.6E9,3.670E-3,318.5E9,3.602E-3,247.6E9
3.696E-3,314.1E9,3.697E-3,318.1E9,3.623E-3,241.7E9
3.724E-3,313.7E9,3.725E-3,317.7E9,3.643E-3,235.8E9
3.751E-3,313.2E9,3.753E-3,317.2E9,3.662E-3,229.7E9
3.779E-3,312.7E9,3.780E-3,316.8E9,3.681E-3,223.6E9
3.806E-3,312.2E9,3.807E-3,316.4E9,3.699E-3,217.5E9
3.833E-3,311.7E9,3.835E-3,315.9E9,3.717E-3,211.4E9
3.860E-3,311.2E9,3.862E-3,315.5E9,3.734E-3,205.3E9
3.887E-3,310.7E9,3.889E-3,315.0E9,3.750E-3,199.4E9
3.914E-3,310.2E9,3.915E-3,314.6E9,3.766E-3,193.5E9
3.940E-3,309.7E9,3.942E-3,314.1E9,3.782E-3,187.7E9
3.967E-3,309.1E9,3.969E-3,313.6E9,3.797E-3,182.1E9
3.993E-3,308.6E9,3.995E-3,313.1E9,3.812E-3,176.6E9
4.020E-3,308.1E9,4.021E-3,312.7E9,3.826E-3,171.3E9
4.046E-3,307.5E9,4.047E-3,312.2E9,3.840E-3,166.1E9
4.072E-3,307.0E9,4.074E-3,311.7E9,3.853E-3,161.1E9
4.098E-3,306.5E9,4.099E-3,311.2E9,3.866E-3,156.3E9
4.124E-3,305.9E9,4.125E-3,310.7E9,3.879E-3,151.7E9
4.149E-3,305.4E9,4.151E-3,310.2E9,3.891E-3,147.2E9
4.175E-3,304.8E9,4.177E-3,309.6E9,3.903E-3,142.8E9
4.201E-3,304.2E9,4.202E-3,309.1E9,3.914E-3,138.7E9
4.226E-3,303.7E9,4.228E-3,308.6E9,3.926E-3,134.7E9
4.251E-3,303.1E9,4.253E-3,308.1E9,3.937E-3,130.8E9
4.276E-3,302.5E9,4.278E-3,307.5E9,3.948E-3,127.1E9
4.302E-3,301.9E9,4.303E-3,307.0E9,3.958E-3,123.6E9
4.327E-3,301.4E9,4.328E-3,306.5E9,3.969E-3,120.2E9
4.351E-3,300.8E9,4.353E-3,305.9E9,3.979E-3,116.9E9
4.376E-3,300.2E9,4.378E-3,305.4E9,3.989E-3,113.7E9
4.401E-3,299.6E9,4.403E-3,304.8E9,3.998E-3,110.7E9
4.426E-3,299.0E9,4.427E-3,304.2E9,4.008E-3,107.8E9
4.450E-3,298.4E9,4.452E-3,303.7E9,4.017E-3,105.0E9
4.474E-3,297.8E9,4.476E-3,303.1E9,4.026E-3,102.3E9
4.499E-3,297.2E9,4.501E-3,302.6E9,4.035E-3,99.75E9
4.523E-3,296.5E9,4.525E-3,302.0E9,4.044E-3,97.27E9
